id;titulo;url;fecha;tipo;alcance;uso
iquique_2014;Acta del Consejo de la Sociedad Civil de Tarapacá;https://html.gendarmeria.gob.cl/doc/transparencia/ley20285/doc_2009/part_ciudadana/consejo_civil/acta_3Tarapaca_junio2014.pdf;2014;Gendarmería de Chile;CRS Iquique;Enumera RC, RP, LV, LVI y PSBC como penas vigentes del CRS.
arica_psbc_2024;Usuarios del CRS Arica realizan trabajos comunitarios;https://www.fronteranorte.cl/2024/04/08/usuarios-de-centro-de-reinsercion-social-realizan-trabajos-comunitarios-recolectando-alimentos-para-diferentes-organizaciones/;2024-04-08;Prensa local;CRS Arica;Menciona de manera expresa usuarios de PSBC del CRS Arica.
atacama_psbc_2023;10 años de la pena sustitutiva de servicios a la comunidad;https://www.chanarcillo.cl/10-anos-de-la-pena-sustitutiva-de-servicios-a-la-comunidad-psbc/;2023;Prensa local;CRS Copiapó y Vallenar;Individualiza a ambos CRS en la ejecución de PSBC.
vallenar_2014;Funcionarios del CRS de Vallenar se reúnen con Carabineros;https://portalweb.vallenardigital.cl/cat-vallenar/funcionarios-del-crs-de-vallenar-se-reunen-con-carabineros/;2014;Prensa local;CRS Vallenar;Identifica funciones locales vinculadas con RP, PSBC y monitoreo telemático.
coquimbo_2020;Medidas sanitarias en recintos penitenciarios de Coquimbo;https://www.diarioeldia.cl/noticias/2020/03/22/70035-reduccion-de-visitas-y-reforzamiento-sanitario-medidas-aplicadas-en-recintos-penitenciarios;2020-03-22;Prensa regional;La Serena, Ovalle e Illapel;"Mención regional conjunta de firma mensual, monitoreo telemático y PSBC; se usa sólo como apoyo medio, no como confirmación individual."
ovalle;Instituciones apoyan reinserción de condenados de Limarí;https://www.elovallino.cl/articulo/instituciones-apoyan-reinsercion-social-condenados-provincia-limari/;s/f;Prensa local;CRS Ovalle;Menciona expresamente LVI y PSBC.
valpo_psbc_2026;Personas que cumplieron trabajos comunitarios en Valparaíso;https://puranoticia.pnt.cl/region-valparaiso/364-personas-evitaron-la-carcel-cumpliendo-trabajos-comunitarios-durante-el;2026-01;Prensa regional, cifras atribuidas a Gendarmería;Cinco CRS de Valparaíso;Entrega cifras 2025 individualizadas para Valparaíso, Quilpué, Los Andes, Quillota y San Antonio.
valpo_lvi_2026;Revista Perspectivas Criminológicas y Penitenciarias, 2.ª edición;https://html.gendarmeria.gob.cl/doc/escuela/REVISTA_Perspectiva_Criminologicas_Penitenciarias_2edic2026.pdf;2026;Gendarmería de Chile;Tabla de delegados/resultados LVI;Individualiza Valparaíso, Los Andes, Quillota y Quilpué en información de LVI.
santiago_occ_rc_2024;Caso de remisión condicional controlada por CRS Santiago Occidente;https://www.biobiochile.cl/especial/bbcl-investiga/noticias/de-pasillo/2024/02/06/amp/rojas-vade-no-solo-mintio-incumplio-condicion-minima-de-pena-sustitutiva-y-peligra-su-libertad.shtml;2024-02-06;Prensa;CRS Santiago Occidente;Describe control mensual de una remisión condicional en ese CRS.
canete_2020;Funcionamiento del CRS Cañete;https://www.lanalhuenoticias.cl/leenota.php?noti=8391;2020;Prensa local;CRS Cañete;Menciona de forma expresa control de PSBC y remisión condicional.
villarrica_2014;Balance de Gestión Integral de Gendarmería;https://html.gendarmeria.gob.cl/doc/BGI_2014_dipres.pdf;2014;Gendarmería de Chile;CRS Villarrica;Vincula la puesta en marcha del CRS con PSBC y libertad vigilada.
punta_arenas_2020;Labor de Gendarmería en Magallanes durante la pandemia;https://www.minjusticia.gob.cl/magallanes-gendarmeria-desarrolla-comprometida-y-meticulosa-labor-para-prevenir-infecciones-por-covid-19/;2020;Ministerio de Justicia y DD.HH.;CRS Punta Arenas;Enumera LV, RP, PSBC, RC, monitoreo telemático y libertad condicional.
repo_ssii;Datos comunitarios de control por forma del CRS Santiago Sur II;https://github.com/jgsbcausas-glitch/crs-chile/blob/main/datos/crs_formas.csv;2026-08-18;Repositorio comunitario, experiencia operativa;CRS Santiago Sur II;"Siete formas informadas por el mantenedor; requieren validación institucional independiente."
repo_buin;Formulario del repositorio para excepciones de control por forma;https://github.com/jgsbcausas-glitch/crs-chile/blob/main/.github/ISSUE_TEMPLATE/04-control-por-forma.yml;consulta 2026-08-18;Repositorio comunitario;Buin, Paine e Isla de Maipo;Declara que el CCP Buin supervisa la remisión condicional de esas tres comunas.
